track_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,genre
002qpSULhHAw6DGqFxbaO1,8,8,6,8,2,2,2,2,1,1,4,1,4,8,6,3,4,5,7,8,7,5,5,6,6,8,8,8,8,9,2,3,2,3,1,2,4,2,5,8,6,2,3,6,8,7,6,4,5,4,2,6,8,7,4,4,1,2,1,2,1,2,3,1,5,7,5,2,4,7,8,6,5,5,6,5,5,8,8,7,6,6,2,2,1,2,1,3,2,2,6,7,5,2,4,7,7,5,6,5,6,1,2,6,7,6,3,3,2,3,2,2,1,4,2,2,7,8,3,3,6,6,7,5,5,4,6,4,happy
004h8smbIoAkUNDJvVKwkG,2,4,2,8,5,4,4,3,7,2,1,5,7,2,3,2,2,1,3,8,4,1,1,5,2,4,6,8,5,4,7,4,4,5,4,6,5,6,6,9,2,3,6,4,7,1,3,7,7,6,5,4,4,5,5,6,5,4,3,5,3,4,6,6,5,5,3,5,7,4,5,8,3,5,5,3,5,7,4,6,5,3,3,7,4,3,4,1,5,8,3,3,5,8,4,3,5,7,5,2,7,5,2,4,3,3,5,6,5,3,3,8,6,4,3,5,3,3,6,4,3,6,4,4,4,8,4,5,emo
006ATYzgynEKIPgVaT5LQM,3,4,4,6,5,5,3,2,2,1,2,4,5,4,6,5,3,3,2,2,2,1,1,1,0,0,0,1,1,2,5,7,7,6,5,5,5,5,4,4,4,5,6,5,5,5,6,5,7,9,9,8,9,8,8,9,9,9,8,7,6,7,7,7,6,7,8,8,8,8,9,9,9,9,8,8,8,8,8,8,6,4,2,2,1,1,1,1,3,4,2,1,1,2,2,1,1,1,2,2,3,8,7,7,7,7,6,4,2,1,1,1,0,0,2,6,6,6,6,2,1,0,0,1,1,2,3,2,world-music
00C93bsNIjHStKvr1lPJee,4,4,5,9,5,7,8,5,4,5,8,9,3,4,5,5,3,3,3,4,6,6,3,5,3,2,3,5,1,5,8,6,4,4,8,9,1,3,4,5,2,3,4,5,5,5,6,7,6,4,4,5,3,4,6,6,6,6,4,5,5,5,5,7,5,3,4,2,4,4,1,1,2,2,1,6,2,2,8,9,8,8,7,5,5,5,5,8,6,3,3,1,2,4,6,7,5,5,4,7,4,3,5,5,5,6,2,2,3,3,3,5,3,3,2,1,3,6,2,1,2,1,1,4,3,1,3,4,heavy-metal
00CsDW3I9XueUvaXnAvGMm,1,1,2,2,7,9,6,8,8,5,5,3,5,8,7,5,7,8,7,5,5,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,7,5,5,3,4,3,3,4,8,6,6,7,4,6,5,6,7,6,5,6,4,5,4,3,6,5,5,5,4,5,5,7,7,5,7,9,8,8,6,7,5,4,3,3,3,2,3,5,8,7,8,9,8,8,5,4,3,2,2,1,1,1,1,2,7,5,6,7,9,6,7,2,4,1,2,1,1,1,1,1,5,4,5,6,9,6,7,3,4,2,2,progressive-house
00JZ83w0Qm09f4PwWj06sM,2,3,4,4,9,9,7,4,3,2,1,0,1,1,1,1,1,1,1,3,2,2,1,3,9,5,2,2,3,2,2,2,3,1,6,3,4,4,3,1,1,2,2,3,4,1,1,3,5,6,8,6,8,5,5,6,5,3,5,5,5,5,4,5,6,6,7,6,4,6,7,8,6,6,5,6,6,5,4,3,4,4,3,3,8,7,5,7,6,7,7,7,7,5,5,8,7,5,4,2,7,9,7,5,5,3,3,1,1,2,3,3,3,2,8,9,5,4,6,7,7,8,6,5,5,6,4,4,honky-tonk
00Mk0LnP5u2W5yJmJpG4va,5,5,7,3,3,3,5,6,2,2,1,5,7,6,5,6,7,7,7,5,2,3,7,4,1,1,2,6,6,4,6,7,8,6,4,6,6,7,5,5,5,5,7,5,3,5,4,7,5,5,3,4,6,5,2,3,3,6,6,4,5,4,6,5,2,2,3,5,5,2,4,3,5,4,1,1,3,5,5,5,3,3,4,5,1,1,1,3,4,1,2,9,8,8,2,9,9,4,5,2,3,2,4,6,1,0,0,1,9,9,6,9,9,7,3,2,2,2,5,2,3,3,4,4,1,1,2,2,synth-pop
00NZcRjpixxnyUwltRhj7V,4,5,4,4,6,5,4,5,4,3,5,5,5,9,9,5,7,4,4,8,8,5,5,3,4,6,3,2,4,4,5,7,6,5,5,4,3,5,3,2,5,6,5,8,6,3,4,4,2,3,2,1,3,6,9,9,8,4,3,3,3,3,3,2,3,4,3,4,3,2,3,4,4,5,5,5,6,6,4,5,5,3,5,6,4,5,4,3,4,5,3,4,4,2,2,4,2,3,3,1,3,4,2,3,4,2,4,6,3,4,5,3,4,5,4,5,4,3,4,6,4,4,4,2,4,7,5,5,honky-tonk
00NxqOPo7bEF9QFNU4bJj8,7,7,6,6,4,3,4,3,1,1,8,7,6,4,6,4,6,4,1,0,4,7,7,7,9,6,4,4,6,2,2,3,1,4,2,3,4,3,5,4,3,6,8,7,5,6,3,4,3,1,0,4,7,5,3,6,8,9,4,3,2,4,8,4,3,2,2,1,2,7,4,3,3,3,2,2,1,1,7,8,4,1,3,7,6,4,3,2,3,2,3,2,2,2,2,2,2,2,2,3,8,5,3,6,8,7,7,8,3,5,7,8,2,4,8,9,9,9,4,4,5,3,1,2,9,8,8,9,opera
00PnFrg2QQzPqkeuxGxcz9,4,5,4,3,2,3,6,4,4,3,6,6,4,7,7,5,4,4,4,4,8,8,6,3,2,3,5,3,2,4,7,8,2,0,1,1,1,4,7,6,3,1,1,1,1,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,3,6,8,7,8,8,8,9,9,8,8,7,6,5,7,7,8,8,6,4,4,6,6,5,6,7,4,3,5,7,7,7,8,7,7,8,9,9,9,8,6,6,4,5,8,9,9,9,9,9,7,5,2,3,4,5,3,2,piano
